src,dst,proto,size,sport,dport
23.220.102.9,10.1.17.215,6,60,80.0,50087.0
52.156.123.84,10.1.17.215,6,96,443.0,50086.0
52.156.123.84,10.1.17.215,6,60,443.0,50086.0
10.1.17.215,52.156.123.84,6,60,50086.0,443.0
10.1.17.215,52.156.123.84,6,60,50086.0,443.0
10.1.17.215,10.1.17.255,17,110,137.0,137.0
10.1.17.215,10.1.17.2,17,82,53533.0,53.0
10.1.17.2,10.1.17.215,17,141,53.0,53533.0
10.1.17.215,20.10.31.115,6,66,50088.0,443.0
20.10.31.115,10.1.17.215,6,66,443.0,50088.0
10.1.17.215,20.10.31.115,6,60,50088.0,443.0
10.1.17.215,20.10.31.115,6,232,50088.0,443.0
20.10.31.115,10.1.17.215,6,1430,443.0,50088.0
20.10.31.115,10.1.17.215,6,138,443.0,50088.0
20.10.31.115,10.1.17.215,6,1430,443.0,50088.0
20.10.31.115,10.1.17.215,6,138,443.0,50088.0
20.10.31.115,10.1.17.215,6,1217,443.0,50088.0
10.1.17.215,20.10.31.115,6,60,50088.0,443.0
10.1.17.215,20.10.31.115,6,212,50088.0,443.0
20.10.31.115,10.1.17.215,6,105,443.0,50088.0
10.1.17.215,20.10.31.115,6,414,50088.0,443.0
10.1.17.215,20.10.31.115,6,1167,50088.0,443.0
10.1.17.215,20.10.31.115,6,301,50088.0,443.0
20.10.31.115,10.1.17.215,6,335,443.0,50088.0
10.1.17.215,20.10.31.115,6,60,50088.0,443.0
20.10.31.115,10.1.17.215,6,60,443.0,50088.0
20.10.31.115,10.1.17.215,6,60,443.0,50088.0
20.10.31.115,10.1.17.215,6,155,443.0,50088.0
10.1.17.215,20.10.31.115,6,60,50088.0,443.0
20.10.31.115,10.1.17.215,6,232,443.0,50088.0
10.1.17.215,20.10.31.115,6,273,50088.0,443.0
20.10.31.115,10.1.17.215,6,155,443.0,50088.0
10.1.17.215,20.10.31.115,6,60,50088.0,443.0
10.1.17.215,10.1.17.255,17,228,138.0,138.0
10.1.17.215,10.1.17.255,17,243,138.0,138.0
10.1.17.215,239.255.255.250,17,179,50325.0,1900.0
10.1.17.215,239.255.255.250,17,179,50325.0,1900.0
10.1.17.215,239.255.255.250,17,179,50325.0,1900.0
10.1.17.215,10.1.17.2,17,76,52583.0,53.0
10.1.17.2,10.1.17.215,17,92,53.0,52583.0
10.1.17.215,10.1.17.255,17,228,138.0,138.0
10.1.17.215,10.1.17.255,17,228,138.0,138.0
10.1.17.215,10.1.17.2,17,162,123.0,123.0
10.1.17.2,10.1.17.215,17,162,123.0,123.0
10.1.17.215,239.255.255.250,17,179,50325.0,1900.0
10.1.17.215,10.1.17.255,17,228,138.0,138.0
10.1.17.215,10.1.17.2,17,89,53533.0,53.0
10.1.17.2,10.1.17.215,17,230,53.0,53533.0
10.1.17.215,52.178.17.235,6,66,50089.0,443.0
52.178.17.235,10.1.17.215,6,66,443.0,50089.0
10.1.17.215,52.178.17.235,6,60,50089.0,443.0
10.1.17.215,52.178.17.235,6,266,50089.0,443.0
52.178.17.235,10.1.17.215,6,1430,443.0,50089.0
52.178.17.235,10.1.17.215,6,1430,443.0,50089.0
52.178.17.235,10.1.17.215,6,1430,443.0,50089.0
10.1.17.215,52.178.17.235,6,60,50089.0,443.0
52.178.17.235,10.1.17.215,6,161,443.0,50089.0
10.1.17.215,52.178.17.235,6,60,50089.0,443.0
10.1.17.215,52.178.17.235,6,212,50089.0,443.0
10.1.17.215,10.1.17.255,17,240,138.0,138.0
52.178.17.235,10.1.17.215,6,105,443.0,50089.0
52.178.17.235,10.1.17.215,6,123,443.0,50089.0
10.1.17.215,52.178.17.235,6,60,50089.0,443.0
10.1.17.215,52.178.17.235,6,141,50089.0,443.0
10.1.17.215,52.178.17.235,6,721,50089.0,443.0
10.1.17.215,52.178.17.235,6,92,50089.0,443.0
10.1.17.215,52.178.17.235,6,1450,50089.0,443.0
10.1.17.215,52.178.17.235,6,1450,50089.0,443.0
10.1.17.215,52.178.17.235,6,975,50089.0,443.0
52.178.17.235,10.1.17.215,6,92,443.0,50089.0
52.178.17.235,10.1.17.215,6,60,443.0,50089.0
52.178.17.235,10.1.17.215,6,60,443.0,50089.0
52.178.17.235,10.1.17.215,6,60,443.0,50089.0
10.1.17.215,52.178.17.235,6,60,50089.0,443.0
52.178.17.235,10.1.17.215,6,341,443.0,50089.0
10.1.17.215,10.1.17.2,17,89,53533.0,53.0
10.1.17.215,52.178.17.235,6,60,50089.0,443.0
10.1.17.2,10.1.17.215,17,230,53.0,53533.0
10.1.17.215,52.178.17.235,6,66,50090.0,443.0
52.178.17.235,10.1.17.215,6,66,443.0,50090.0
10.1.17.215,52.178.17.235,6,60,50090.0,443.0
10.1.17.215,52.178.17.235,6,266,50090.0,443.0
10.1.17.215,239.255.255.250,17,179,50325.0,1900.0
52.178.17.235,10.1.17.215,6,1430,443.0,50090.0
52.178.17.235,10.1.17.215,6,1430,443.0,50090.0
10.1.17.215,52.178.17.235,6,60,50090.0,443.0
52.178.17.235,10.1.17.215,6,1430,443.0,50090.0
52.178.17.235,10.1.17.215,6,161,443.0,50090.0
10.1.17.215,52.178.17.235,6,60,50090.0,443.0
10.1.17.215,52.178.17.235,6,212,50090.0,443.0
52.178.17.235,10.1.17.215,6,105,443.0,50090.0
52.178.17.235,10.1.17.215,6,123,443.0,50090.0
10.1.17.215,52.178.17.235,6,60,50090.0,443.0
10.1.17.215,52.178.17.235,6,141,50090.0,443.0
10.1.17.215,52.178.17.235,6,700,50090.0,443.0
10.1.17.215,52.178.17.235,6,92,50090.0,443.0
10.1.17.215,52.178.17.235,6,1450,50090.0,443.0
10.1.17.215,52.178.17.235,6,616,50090.0,443.0
10.1.17.215,10.1.17.255,17,240,138.0,138.0
52.178.17.235,10.1.17.215,6,92,443.0,50090.0
52.178.17.235,10.1.17.215,6,60,443.0,50090.0
52.178.17.235,10.1.17.215,6,60,443.0,50090.0
10.1.17.215,52.178.17.235,6,60,50090.0,443.0
52.178.17.235,10.1.17.215,6,339,443.0,50090.0
10.1.17.215,52.178.17.235,6,187,50089.0,443.0
10.1.17.215,52.178.17.235,6,1425,50089.0,443.0
10.1.17.215,52.178.17.235,6,60,50090.0,443.0
52.178.17.235,10.1.17.215,6,60,443.0,50089.0
52.178.17.235,10.1.17.215,6,162,443.0,50089.0
10.1.17.215,52.178.17.235,6,60,50089.0,443.0
10.1.17.215,52.178.17.235,6,60,50090.0,443.0
52.178.17.235,10.1.17.215,6,60,443.0,50090.0
52.178.17.235,10.1.17.215,6,96,443.0,50089.0
52.178.17.235,10.1.17.215,6,60,443.0,50089.0
10.1.17.215,52.178.17.235,6,60,50090.0,443.0
10.1.17.215,52.178.17.235,6,60,50089.0,443.0
10.1.17.215,52.178.17.235,6,60,50089.0,443.0
10.1.17.215,10.1.17.255,17,240,138.0,138.0
10.1.17.215,10.1.17.2,6,66,50091.0,88.0
10.1.17.2,10.1.17.215,6,66,88.0,50091.0
10.1.17.215,10.1.17.2,6,60,50091.0,88.0
10.1.17.215,10.1.17.2,6,288,50091.0,88.0
10.1.17.2,10.1.17.215,6,262,88.0,50091.0
10.1.17.215,10.1.17.2,6,60,50091.0,88.0
10.1.17.2,10.1.17.215,6,60,88.0,50091.0
10.1.17.2,10.1.17.215,6,60,88.0,50091.0
10.1.17.215,10.1.17.2,6,66,50092.0,88.0
10.1.17.2,10.1.17.215,6,66,88.0,50092.0
10.1.17.215,10.1.17.2,6,60,50092.0,88.0
10.1.17.215,10.1.17.2,6,368,50092.0,88.0
10.1.17.2,10.1.17.215,6,1514,88.0,50092.0
10.1.17.2,10.1.17.215,6,399,88.0,50092.0
10.1.17.215,10.1.17.2,6,60,50092.0,88.0
10.1.17.215,10.1.17.2,6,60,50092.0,88.0
10.1.17.2,10.1.17.215,6,60,88.0,50092.0
10.1.17.2,10.1.17.215,6,60,88.0,50092.0
10.1.17.215,10.1.17.2,6,66,50093.0,88.0
10.1.17.2,10.1.17.215,6,66,88.0,50093.0
10.1.17.215,10.1.17.2,6,60,50093.0,88.0
10.1.17.215,10.1.17.2,6,1514,50093.0,88.0
10.1.17.215,10.1.17.2,6,307,50093.0,88.0
10.1.17.2,10.1.17.215,6,60,88.0,50093.0
10.1.17.2,10.1.17.215,6,1514,88.0,50093.0
10.1.17.2,10.1.17.215,6,329,88.0,50093.0
10.1.17.215,10.1.17.2,6,60,50093.0,88.0
10.1.17.215,10.1.17.2,6,60,50093.0,88.0
10.1.17.2,10.1.17.215,6,60,88.0,50093.0
10.1.17.2,10.1.17.215,6,60,88.0,50093.0
10.1.17.215,10.1.17.2,17,242,52584.0,389.0
10.1.17.2,10.1.17.215,17,224,389.0,52584.0
10.1.17.215,10.1.17.2,6,66,50094.0,135.0
10.1.17.2,10.1.17.215,6,66,135.0,50094.0
10.1.17.215,10.1.17.2,6,60,50094.0,135.0
10.1.17.215,10.1.17.2,6,214,50094.0,135.0
10.1.17.2,10.1.17.215,6,162,135.0,50094.0
10.1.17.215,10.1.17.2,6,222,50094.0,135.0
10.1.17.2,10.1.17.215,6,322,135.0,50094.0
10.1.17.215,10.1.17.2,6,66,50095.0,49668.0
10.1.17.2,10.1.17.215,6,66,49668.0,50095.0
10.1.17.215,10.1.17.2,6,60,50095.0,49668.0
10.1.17.215,10.1.17.2,6,66,50096.0,88.0
10.1.17.2,10.1.17.215,6,66,88.0,50096.0
10.1.17.215,10.1.17.2,6,60,50096.0,88.0
10.1.17.215,10.1.17.2,6,1514,50096.0,88.0
10.1.17.215,10.1.17.2,6,483,50096.0,88.0
10.1.17.2,10.1.17.215,6,60,88.0,50096.0
10.1.17.2,10.1.17.215,6,1514,88.0,50096.0
10.1.17.2,10.1.17.215,6,461,88.0,50096.0
10.1.17.215,10.1.17.2,6,60,50096.0,88.0
10.1.17.215,10.1.17.2,6,60,50096.0,88.0
10.1.17.2,10.1.17.215,6,60,88.0,50096.0
10.1.17.2,10.1.17.215,6,60,88.0,50096.0
10.1.17.215,10.1.17.2,6,1514,50095.0,49668.0
10.1.17.215,10.1.17.2,6,851,50095.0,49668.0
10.1.17.2,10.1.17.215,6,60,49668.0,50095.0
10.1.17.2,10.1.17.215,6,338,49668.0,50095.0
10.1.17.215,10.1.17.2,6,274,50095.0,49668.0
10.1.17.2,10.1.17.215,6,159,49668.0,50095.0
10.1.17.215,10.1.17.2,6,322,50095.0,49668.0
10.1.17.2,10.1.17.215,6,258,49668.0,50095.0
10.1.17.215,10.1.17.2,6,322,50095.0,49668.0
10.1.17.2,10.1.17.215,6,450,49668.0,50095.0
10.1.17.215,10.1.17.2,6,322,50095.0,49668.0
10.1.17.2,10.1.17.215,6,418,49668.0,50095.0
10.1.17.215,10.1.17.2,6,194,50095.0,49668.0
10.1.17.2,10.1.17.215,6,194,49668.0,50095.0
10.1.17.215,10.1.17.2,6,66,50097.0,389.0
10.1.17.2,10.1.17.215,6,66,389.0,50097.0
10.1.17.215,10.1.17.2,6,60,50097.0,389.0
10.1.17.215,10.1.17.2,6,1514,50097.0,389.0
10.1.17.215,10.1.17.2,6,736,50097.0,389.0
10.1.17.2,10.1.17.215,6,60,389.0,50097.0
10.1.17.2,10.1.17.215,6,257,389.0,50097.0
10.1.17.215,10.1.17.2,6,259,50097.0,389.0
10.1.17.2,10.1.17.215,6,600,389.0,50097.0
10.1.17.215,10.1.17.2,6,66,50098.0,389.0
10.1.17.2,10.1.17.215,6,66,389.0,50098.0
10.1.17.215,10.1.17.2,6,60,50098.0,389.0
10.1.17.215,10.1.17.2,6,1514,50098.0,389.0
10.1.17.215,10.1.17.2,6,742,50098.0,389.0
10.1.17.2,10.1.17.215,6,60,389.0,50098.0
10.1.17.2,10.1.17.215,6,257,389.0,50098.0
10.1.17.215,10.1.17.2,6,262,50098.0,389.0
10.1.17.2,10.1.17.215,6,247,389.0,50098.0
10.1.17.215,10.1.17.2,6,267,50098.0,389.0
10.1.17.2,10.1.17.215,6,241,389.0,50098.0
10.1.17.215,10.1.17.2,6,684,50097.0,389.0
10.1.17.2,10.1.17.215,6,140,389.0,50097.0
10.1.17.215,10.1.17.2,6,129,50098.0,389.0
10.1.17.2,10.1.17.215,6,60,389.0,50098.0
10.1.17.215,10.1.17.2,6,60,50098.0,389.0
10.1.17.215,10.1.17.2,6,129,50097.0,389.0
10.1.17.215,10.1.17.2,6,60,50097.0,389.0
